filename,split,original_path,image_height,image_width,vehicle_count,vehicle_centers,kde_max_density,kde_mean_density
10_mp4-10_jpg.rf.b87509668caff369c5501325477e6d9a.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-10_jpg.rf.b87509668caff369c5501325477e6d9a.jpg,640,640,22,"[(183, 104), (414, 161), (87, 500), (419, 105), (141, 167), (236, 134), (508, 43), (430, 65), (433, 207), (186, 361), (87, 379), (173, 212), (341, 611), (467, 139), (582, 268), (230, 454), (73, 291), (472, 55), (130, 89), (529, 24), (462, 55), (231, 454)]",0.004069472207970306,3.906109995029368e-05
10_mp4-10_jpg.rf.ba480b311472ef957256801c3766128a.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-10_jpg.rf.ba480b311472ef957256801c3766128a.jpg,640,640,20,"[(225, 160), (456, 104), (553, 500), (498, 168), (131, 48), (210, 64), (205, 207), (220, 105), (176, 56), (171, 139), (410, 453), (465, 213), (403, 132), (453, 361), (299, 611), (568, 291), (58, 268), (554, 377), (390, 112), (176, 56)]",0.004969484632557669,3.906215893029845e-05
10_mp4-11_jpg.rf.eb1b06090bd1c1814b87c18a2661990a.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-11_jpg.rf.eb1b06090bd1c1814b87c18a2661990a.jpg,640,640,19,"[(471, 153), (155, 153), (277, 549), (183, 195), (180, 320), (197, 95), (414, 117), (417, 178), (450, 233), (75, 441), (455, 62), (416, 73), (207, 397), (348, 633), (611, 297), (500, 47), (455, 63), (351, 53), (611, 297)]",0.0046224979886469045,3.851101374889007e-05
10_mp4-12_jpg.rf.daf65f51adfd1817d026f3d4c3cf3d4c.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-12_jpg.rf.daf65f51adfd1817d026f3d4c3cf3d4c.jpg,640,640,18,"[(275, 579), (70, 396), (476, 263), (235, 469), (210, 87), (169, 143), (402, 82), (193, 178), (411, 131), (446, 71), (477, 169), (492, 57), (176, 287), (426, 199), (193, 350), (159, 76), (12, 355), (285, 93)]",0.0030255421883614735,3.9016423263176875e-05
10_mp4-14_jpg.rf.0f71b11f7cbb40b498e9f8032bf9a51c.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-14_jpg.rf.0f71b11f7cbb40b498e9f8032bf9a51c.jpg,640,640,19,"[(118, 564), (566, 347), (463, 250), (194, 434), (216, 148), (538, 29), (501, 205), (481, 67), (237, 71), (71, 322), (411, 161), (193, 358), (377, 100), (188, 63), (109, 209), (410, 35), (9, 258), (443, 84), (412, 74)]",0.0025959815060979975,3.888643749629093e-05
10_mp4-15_jpg.rf.54247e977cdc30cf8b27ca8fb7b87871.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-15_jpg.rf.54247e977cdc30cf8b27ca8fb7b87871.jpg,640,640,26,"[(541, 493), (142, 283), (161, 82), (464, 381), (273, 112), (437, 57), (294, 609), (486, 609), (19, 405), (117, 226), (411, 137), (196, 93), (531, 234), (110, 32), (430, 107), (222, 191), (456, 321), (624, 236), (383, 64), (562, 293), (412, 137), (277, 41), (466, 250), (211, 28), (487, 609), (19, 406)]",0.0027841718585056487,3.8982222747567916e-05
10_mp4-15_jpg.rf.7c56c088a40d06ad42da2024516df7d9.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-15_jpg.rf.7c56c088a40d06ad42da2024516df7d9.jpg,640,640,23,"[(497, 283), (175, 381), (96, 492), (620, 405), (184, 322), (15, 237), (478, 77), (528, 31), (108, 233), (366, 112), (76, 294), (522, 226), (443, 93), (153, 609), (428, 28), (402, 82), (345, 609), (417, 180), (228, 137), (122, 189), (347, 609), (173, 250), (208, 107)]",0.0031559309409342224,3.900870199569739e-05
10_mp4-17_jpg.rf.3def0a8d4f135b823f17b0ac72b89137.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-17_jpg.rf.3def0a8d4f135b823f17b0ac72b89137.jpg,640,640,25,"[(604, 374), (159, 302), (474, 95), (121, 604), (23, 204), (308, 589), (514, 38), (356, 141), (74, 388), (444, 110), (591, 280), (149, 160), (181, 256), (445, 224), (98, 495), (387, 100), (235, 469), (249, 114), (235, 470), (452, 50), (345, 65), (400, 78), (90, 246), (101, 195), (231, 48)]",0.0032472039360253464,3.9061254673894547e-05
10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-17_jpg.rf.f29adb6ba74c526e626284888f787502.jpg,640,640,26,"[(34, 374), (481, 302), (540, 495), (566, 389), (165, 89), (517, 604), (48, 280), (615, 203), (124, 41), (332, 588), (404, 469), (283, 136), (459, 254), (403, 468), (491, 160), (390, 114), (615, 203), (252, 100), (187, 49), (194, 224), (195, 113), (194, 223), (239, 78), (548, 246), (408, 48), (438, 172)]",0.003176887763144598,3.9055756218452954e-05
10_mp4-18_jpg.rf.4319bfbb7bc9b9f40a62a13cacc1e71c.jpg,train,D:/DeepLearning/DoAn_DeepLearning/Vehicle_Detection_Image_Dataset\train\images\10_mp4-18_jpg.rf.4319bfbb7bc9b9f40a62a13cacc1e71c.jpg,640,640,25,"[(97, 560), (158, 271), (623, 316), (208, 410), (241, 45), (70, 351), (426, 94), (354, 151), (472, 252), (437, 58), (89, 438), (255, 512), (544, 41), (33, 190), (474, 94), (162, 149), (404, 77), (391, 88), (184, 230), (509, 45), (354, 157), (9, 264), (255, 511), (100, 226), (509, 45)]",0.003613685705261472,3.886036823866576e-05
